date,close,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2015-08-10,1362.56,12.25,0.91,,,,,,
2015-08-07,1350.31,5.11,0.38,,,,,,
2015-08-06,1345.2,-14.56,-1.07,,,,,,
2015-08-05,1359.76,2.22,0.16,,,,,,
2015-08-04,1357.54,6.79,0.5,,,,,,
2015-08-03,1350.75,8.48,0.63,,,,,,
2015-07-31,1342.27,1.15,0.09,,,,,,
2015-07-30,1341.12,-41.65,-3.01,,,,,,
2015-07-29,1382.77,3.19,0.23,,,,,,
2015-07-28,1379.58,10.56,0.77,,,,,,
2015-07-27,1369.02,-25.6,-1.84,,,,,,
2015-07-24,1394.62,2.04,0.15,,,,,,
2015-07-23,1392.58,-13.23,-0.94,,,,,,
2015-07-22,1405.81,-15.51,-1.09,,,,,,
2015-07-21,1421.32,-3.83,-0.27,,,,,,
2015-07-20,1425.15,7.4,0.52,,,,,,
2015-07-17,1417.75,16.97,1.21,,,,,,
2015-07-16,1400.78,28.28,2.06,,,,,,
2015-07-15,1372.5,-5.55,-0.4,,,,,,
2015-07-14,1378.05,-7.97,-0.58,,,,,,
2015-07-13,1386.02,20.2,1.48,,,,,,
2015-07-10,1365.82,4.22,0.31,,,,,,
2015-07-09,1361.6,0.58,0.04,,,,,,
2015-07-08,1361.02,-2.48,-0.18,,,,,,
2015-07-07,1363.5,26.01,1.94,,,,,,
2015-07-06,1337.49,-17.79,-1.31,,,,,,
2015-07-03,1355.28,-4.65,-0.34,,,,,,
2015-07-02,1359.93,-1.6,-0.12,,,,,,
2015-07-01,1361.53,17.4,1.29,,,,,,
2015-06-30,1344.13,0.82,0.06,,,,,,
2015-06-29,1343.31,-9.74,-0.72,,,,,,
2015-06-26,1353.05,-0.63,-0.05,,,,,,
2015-06-25,1353.68,12.24,0.91,,,,,,
2015-06-24,1341.44,14.47,1.09,,,,,,
2015-06-23,1326.97,22.86,1.75,,,,,,
2015-06-22,1304.11,-9.98,-0.76,,,,,,
2015-06-19,1314.09,3.15,0.24,,,,,,
2015-06-18,1310.94,-3.57,-0.27,,,,,,
2015-06-17,1314.51,8.17,0.63,,,,,,
2015-06-16,1306.34,0.06,0,,,,,,
2015-06-15,1306.28,0.5,0.04,,,,,,
2015-06-12,1305.78,9.28,0.72,,,,,,
2015-06-11,1296.5,-0.09,-0.01,,,,,,
2015-06-10,1296.59,-13.09,-1,,,,,,
2015-06-09,1309.68,14.01,1.08,,,,,,
2015-06-08,1295.67,15.03,1.17,,,,,,
2015-06-05,1280.64,0.72,0.06,,,,,,
2015-06-04,1279.92,-13.5,-1.04,,,,,,
2015-06-03,1293.42,-3.71,-0.29,,,,,,
2015-06-02,1297.13,-14.15,-1.08,,,,,,
2015-06-01,1311.28,5.59,0.43,,,,,,
2015-05-29,1305.69,-4.2,-0.32,,,,,,
2015-05-28,1309.89,-14.07,-1.06,,,,,,
2015-05-27,1323.96,-23.55,-1.75,,,,,,
2015-05-26,1347.51,-6.88,-0.51,,,,,,
2015-05-22,1354.39,6.81,0.51,,,,,,
2015-05-21,1347.58,6.36,0.47,,,,,,
2015-05-20,1341.22,2.62,0.2,,,,,,
2015-05-19,1338.6,-2.57,-0.19,,,,,,
2015-05-18,1341.17,6,0.45,,,,,,
2015-05-15,1335.17,-1.29,-0.1,,,,,,
2015-05-14,1336.46,4.73,0.36,,,,,,
2015-05-13,1331.73,10.51,0.8,,,,,,
2015-05-12,1321.22,0.73,0.06,,,,,,
2015-05-11,1320.49,-3.07,-0.23,,,,,,
2015-05-08,1323.56,-10.61,-0.8,,,,,,
2015-05-07,1334.17,-9.25,-0.69,,,,,,
2015-05-06,1343.42,-20.47,-1.5,,,,,,
2015-05-04,1363.89,-28.19,-2.03,,,,,,
2015-04-30,1392.08,-10.64,-0.76,,,,,,
2015-04-29,1402.72,-4.37,-0.31,,,,,,
2015-04-28,1407.09,-6.65,-0.47,,,,,,
2015-04-27,1413.74,20.88,1.5,,,,,,
2015-04-24,1392.86,10.91,0.79,,,,,,
2015-04-23,1381.95,12.36,0.9,,,,,,
2015-04-22,1369.59,-5.22,-0.38,,,,,,
2015-04-21,1374.81,3.72,0.27,,,,,,
2015-04-20,1371.09,-4.18,-0.3,,,,,,
2015-04-17,1375.27,8.52,0.62,,,,,,
2015-04-16,1366.75,7.3,0.54,,,,,,
2015-04-15,1359.45,-6.84,-0.5,,,,,,
2015-04-14,1366.29,22.94,1.71,,,,,,
2015-04-13,1343.35,-14.44,-1.06,,,,,,
2015-04-10,1357.79,1.35,0.1,,,,,,
2015-04-09,1356.44,3.4,0.25,,,,,,
2015-04-08,1353.04,-3.4,-0.25,,,,,,
2015-04-07,1356.44,-1.24,-0.09,,,,,,
2015-04-06,1357.68,-7.98,-0.58,,,,,,
2015-04-03,1365.66,10.26,0.76,,,,,,
