date,close,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2018-08-02,619.14,-10.67,-1.69,,,,,,
2018-08-01,629.81,0.37,0.06,,,,,,
2018-07-31,629.44,0.7,0.11,,,,,,
2018-07-30,628.74,6.74,1.08,,,,,,
2018-07-27,622,1.6,0.26,,,,,,
2018-07-26,620.4,3.41,0.55,,,,,,
2018-07-25,616.99,-1.57,-0.25,,,,,,
2018-07-24,618.56,8.24,1.35,,,,,,
2018-07-23,610.32,2.36,0.39,,,,,,
2018-07-20,607.96,6.53,1.09,,,,,,
2018-07-19,601.43,-5.04,-0.83,,,,,,
2018-07-18,606.47,-10.19,-1.65,,,,,,
2018-07-17,616.66,2.2,0.36,,,,,,
2018-07-16,614.46,-1.55,-0.25,,,,,,
2018-07-13,616.01,3.11,0.51,,,,,,
2018-07-12,612.9,-0.22,-0.04,,,,,,
2018-07-11,613.12,-2.04,-0.33,,,,,,
2018-07-10,615.16,3.11,0.51,,,,,,
2018-07-09,612.05,-4.53,-0.73,,,,,,
2018-07-06,616.58,13.93,2.31,,,,,,
2018-07-05,602.65,-3.93,-0.65,,,,,,
2018-07-04,606.58,1.79,0.3,,,,,,
2018-07-03,604.79,0.52,0.09,,,,,,
2018-07-02,604.27,-20.83,-3.33,,,,,,
2018-06-29,625.1,6.99,1.13,,,,,,
2018-06-28,618.11,-3.51,-0.56,,,,,,
2018-06-27,621.62,-13.41,-2.11,,,,,,
2018-06-26,635.03,-8.11,-1.26,,,,,,
2018-06-25,643.14,7.78,1.22,,,,,,
2018-06-22,635.36,6.36,1.01,,,,,,
2018-06-21,629,-13.63,-2.12,,,,,,
2018-06-20,642.63,7.07,1.11,,,,,,
2018-06-19,635.56,-19.65,-3,,,,,,
2018-06-18,655.21,-13.9,-2.08,,,,,,
2018-06-15,669.11,-5.56,-0.82,,,,,,
2018-06-14,674.67,-25.7,-3.67,,,,,,
2018-06-12,700.37,-5.72,-0.81,,,,,,
2018-06-11,706.09,13.21,1.91,,,,,,
2018-06-08,692.88,-7.27,-1.04,,,,,,
